iter	Passed	Remaining
0	3	312
1	5	283
2	8	264
3	10	246
4	13	254
5	16	252
6	18	246
7	20	239
8	23	237
9	26	236
10	28	232
11	31	231
12	33	226
13	36	224
14	39	221
15	41	216
16	43	212
17	45	209
18	48	206
19	50	202
20	53	200
21	55	197
22	57	193
23	60	190
24	62	188
25	64	184
26	67	182
27	69	179
28	72	176
29	74	173
30	76	170
31	78	167
32	80	164
33	83	161
34	85	158
35	87	155
36	89	152
37	91	150
38	94	148
39	97	145
40	99	143
41	100	138
42	102	136
43	105	134
44	107	131
45	110	129
46	112	127
47	114	124
48	117	121
49	119	119
50	121	116
51	124	114
52	126	112
53	128	109
54	130	106
55	132	104
56	134	101
57	137	99
58	139	96
59	141	94
60	144	92
61	146	89
62	148	87
63	150	84
64	153	82
65	155	80
66	157	77
67	159	75
68	162	72
69	164	70
70	167	68
71	169	65
72	172	63
73	174	61
74	177	59
75	179	56
76	181	54
77	183	51
78	186	49
79	188	47
80	190	44
81	193	42
82	195	40
83	197	37
84	200	35
85	202	32
86	204	30
87	207	28
88	209	25
89	211	23
90	213	21
91	216	18
92	218	16
93	220	14
94	223	11
95	225	9
96	227	7
97	229	4
98	232	2
99	234	0
