iter	Passed	Remaining
0	91	91550
1	101	50529
2	105	35223
3	112	28024
4	115	23055
5	119	19736
6	123	17497
7	126	15691
8	132	14565
9	137	13620
10	140	12638
11	143	11791
12	146	11105
13	148	10489
14	151	9964
15	157	9676
16	163	9470
17	166	9089
18	170	8823
19	174	8526
20	176	8235
21	178	7954
22	182	7749
23	188	7662
24	190	7427
25	192	7199
26	194	6991
27	196	6817
28	203	6829
29	205	6658
30	208	6505
31	210	6361
32	213	6266
33	217	6168
34	219	6048
35	222	5947
36	224	5836
37	226	5732
38	228	5634
39	231	5547
40	232	5448
41	235	5368
42	238	5306
43	241	5236
44	243	5176
45	246	5104
46	248	5034
47	252	5012
48	254	4944
49	258	4914
50	260	4852
51	263	4795
52	266	4755
53	268	4710
54	270	4650
55	272	4596
56	274	4549
57	276	4496
58	278	4448
59	281	4402
60	282	4351
61	284	4300
62	286	4257
63	287	4211
64	289	4170
65	291	4125
66	293	4088
67	295	4051
68	297	4011
69	299	3973
70	301	3940
71	303	3908
72	305	3874
73	306	3839
74	309	3812
75	311	3781
76	312	3748
77	314	3716
78	316	3689
79	318	3664
80	320	3634
81	322	3608
82	324	3587
83	326	3560
84	328	3533
85	329	3506
86	332	3484
87	333	3460
88	335	3435
89	337	3412
90	339	3393
91	341	3373
92	343	3351
93	345	3332
94	347	3314
95	349	3294
96	351	3276
97	354	3264
98	356	3247
99	358	3226
100	360	3211
101	362	3194
102	364	3174
103	366	3154
104	367	3135
105	370	3121
106	372	3104
107	373	3087
108	375	3071
109	377	3056
110	379	3039
111	381	3020
112	382	3005
113	384	2990
114	386	2973
115	388	2957
116	389	2938
117	391	2927
118	393	2912
119	395	2897
120	396	2883
121	398	2869
122	400	2856
123	402	2842
124	404	2828
125	406	2817
126	407	2802
127	409	2787
128	410	2773
129	414	2770
130	415	2758
131	417	2745
132	419	2733
133	421	2721
134	423	2713
135	425	2700
136	427	2695
137	429	2685
138	431	2674
139	433	2662
140	435	2656
141	437	2642
142	438	2630
143	440	2618
144	442	2610
145	444	2600
146	446	2589
147	447	2578
148	449	2568
149	451	2559
150	453	2549
151	455	2539
152	456	2529
153	458	2521
154	460	2511
155	462	2501
156	464	2494
157	466	2486
158	468	2476
159	469	2466
160	471	2454
161	473	2447
162	474	2438
163	476	2429
164	478	2419
165	481	2421
166	483	2412
167	485	2404
168	488	2399
169	490	2392
170	491	2383
171	493	2375
172	495	2368
173	497	2361
174	498	2352
175	500	2343
176	502	2337
177	504	2331
178	506	2323
179	508	2316
180	510	2310
181	512	2303
182	514	2297
183	516	2289
184	518	2282
185	519	2275
186	521	2268
187	524	2263
188	526	2258
189	528	2252
190	530	2247
191	532	2241
192	535	2237
193	536	2229
194	539	2226
195	541	2223
196	543	2216
197	545	2211
198	548	2206
199	549	2199
200	551	2192
201	553	2188
202	556	2184
203	558	2177
204	559	2170
205	561	2165
206	563	2160
207	566	2155
208	567	2149
209	570	2144
210	572	2141
211	574	2135
212	577	2132
213	579	2128
214	582	2125
215	584	2121
216	586	2116
217	588	2109
218	590	2104
219	592	2099
220	594	2093
221	595	2087
222	597	2080
223	599	2077
224	601	2072
225	603	2065
226	605	2060
227	607	2056
228	609	2050
229	610	2044
230	612	2039
231	615	2036
232	617	2031
233	618	2025
234	621	2022
235	623	2017
236	625	2012
237	626	2007
238	628	2002
239	631	1998
240	632	1993
241	634	1988
242	636	1983
243	638	1979
244	640	1973
245	643	1973
246	645	1968
247	647	1963
248	649	1959
249	651	1954
250	653	1950
251	655	1944
252	658	1942
253	659	1938
254	661	1933
255	663	1927
256	666	1926
257	668	1922
258	670	1917
259	672	1913
260	674	1910
261	676	1905
262	678	1900
263	680	1898
264	683	1894
265	685	1890
266	687	1886
267	688	1881
268	690	1877
269	692	1871
270	694	1868
271	697	1866
272	699	1861
273	700	1856
274	702	1852
275	704	1848
276	706	1843
277	708	1839
278	711	1838
279	713	1834
280	714	1829
281	717	1827
282	720	1824
283	721	1820
284	724	1816
285	725	1812
286	727	1807
287	729	1802
288	731	1799
289	733	1796
290	735	1792
291	737	1787
292	738	1783
293	741	1779
294	742	1775
295	744	1770
296	746	1767
297	749	1764
298	750	1760
299	752	1755
300	754	1752
301	756	1748
302	758	1744
303	760	1740
304	762	1737
305	764	1733
306	766	1729
307	767	1724
308	769	1721
309	771	1717
310	773	1712
311	774	1708
312	777	1706
313	779	1702
314	781	1698
315	782	1694
316	784	1690
317	786	1687
318	788	1682
319	790	1678
320	791	1675
321	793	1671
322	795	1667
323	797	1663
324	800	1661
325	802	1658
326	804	1654
327	805	1650
328	807	1647
329	809	1643
330	811	1639
331	812	1635
332	815	1632
333	817	1629
334	818	1625
335	820	1620
336	822	1617
337	823	1613
338	825	1609
339	827	1605
340	829	1602
341	831	1599
342	832	1595
343	834	1591
344	836	1587
345	838	1584
346	839	1580
347	841	1576
348	843	1572
349	845	1569
350	846	1566
351	848	1562
352	850	1558
353	852	1556
354	854	1552
355	855	1548
356	857	1544
357	859	1542
358	861	1538
359	863	1534
360	864	1530
361	867	1528
362	868	1524
363	870	1520
364	872	1517
365	874	1514
366	875	1510
367	877	1507
368	879	1503
369	881	1500
370	883	1497
371	884	1493
372	886	1490
373	889	1488
374	891	1485
375	892	1481
376	894	1477
377	897	1476
378	899	1473
379	901	1470
380	905	1471
381	907	1468
382	909	1464
383	911	1462
384	913	1458
385	914	1455
386	916	1452
387	919	1449
388	922	1448
389	923	1444
390	926	1442
391	928	1439
392	930	1436
393	931	1433
394	934	1430
395	935	1427
396	937	1424
397	939	1420
398	941	1418
399	943	1414
400	944	1411
401	946	1408
402	948	1405
403	950	1402
404	952	1399
405	953	1395
406	955	1392
407	957	1389
408	959	1386
409	961	1383
410	962	1379
411	964	1377
412	966	1373
413	968	1370
414	970	1367
415	972	1364
416	973	1361
417	975	1358
418	977	1355
419	979	1352
420	981	1349
421	983	1346
422	984	1343
423	986	1340
424	988	1337
425	989	1333
426	991	1330
427	993	1328
428	995	1325
429	997	1321
430	998	1318
431	1000	1315
432	1002	1313
433	1004	1309
434	1006	1306
435	1007	1303
436	1009	1301
437	1011	1298
438	1013	1294
439	1015	1292
440	1017	1289
441	1019	1286
442	1020	1283
443	1022	1280
444	1024	1277
445	1026	1274
446	1028	1271
447	1031	1270
448	1033	1268
449	1035	1265
450	1037	1262
451	1039	1260
452	1041	1257
453	1043	1254
454	1046	1253
455	1048	1251
456	1051	1248
457	1054	1247
458	1056	1245
459	1058	1242
460	1061	1240
461	1063	1238
462	1066	1236
463	1069	1235
464	1071	1232
465	1073	1229
466	1076	1228
467	1078	1225
468	1080	1223
469	1088	1226
470	1090	1225
471	1093	1223
472	1095	1220
473	1099	1220
474	1102	1218
475	1105	1216
476	1109	1216
477	1111	1213
478	1118	1216
479	1121	1215
480	1124	1213
481	1126	1210
482	1128	1207
483	1130	1205
484	1132	1202
485	1134	1199
486	1137	1197
487	1139	1195
488	1146	1198
489	1158	1206
490	1163	1206
491	1165	1203
492	1170	1203
493	1172	1200
494	1174	1198
495	1178	1197
496	1180	1194
497	1182	1191
498	1185	1190
499	1187	1187
500	1189	1184
501	1191	1182
502	1194	1179
503	1195	1176
504	1197	1173
505	1199	1171
506	1202	1169
507	1204	1166
508	1207	1165
509	1210	1162
510	1212	1159
511	1215	1158
512	1217	1155
513	1219	1152
514	1222	1151
515	1224	1148
516	1226	1146
517	1229	1144
518	1231	1141
519	1233	1138
520	1235	1136
521	1237	1133
522	1239	1130
523	1241	1127
524	1243	1124
525	1245	1122
526	1246	1119
527	1248	1116
528	1251	1113
529	1253	1111
530	1254	1108
531	1256	1105
532	1259	1103
533	1260	1100
534	1262	1097
535	1264	1094
536	1267	1092
537	1269	1090
538	1271	1087
539	1273	1085
540	1275	1082
541	1278	1080
542	1281	1078
543	1283	1076
544	1285	1073
545	1288	1071
546	1290	1068
547	1291	1065
548	1293	1062
549	1296	1060
550	1298	1058
551	1300	1055
552	1302	1052
553	1304	1049
554	1306	1047
555	1307	1044
556	1310	1041
557	1312	1039
558	1314	1036
559	1316	1034
560	1318	1031
561	1320	1029
562	1322	1026
563	1323	1023
564	1326	1021
565	1328	1018
566	1330	1015
567	1332	1013
568	1334	1010
569	1336	1008
570	1338	1005
571	1341	1003
572	1343	1001
573	1344	998
574	1346	995
575	1348	992
576	1350	990
577	1352	987
578	1353	984
579	1355	981
580	1357	979
581	1359	976
582	1361	974
583	1363	971
584	1365	968
585	1367	965
586	1368	962
587	1370	960
